Name,Crossing Number,Genus-3D,Bridge Index,Braid Index,Alexander
10_16,10,2,2,5,4-12*t+ 15*t^2-12*t^3+ 4*t^4
10_17,10,4,2,3,1-3*t+ 5*t^2-7*t^3+ 9*t^4-7*t^5+ 5*t^6-3*t^7+ t^8
10_18,10,2,2,5,4-14*t+ 19*t^2-14*t^3+ 4*t^4
10_19,10,3,2,4,2-7*t+ 11*t^2-11*t^3+ 11*t^4-7*t^5+ 2*t^6
10_20,10,2,2,5,3-9*t+ 11*t^2-9*t^3+ 3*t^4
10_21,10,3,2,4,2-7*t+ 9*t^2-9*t^3+ 9*t^4-7*t^5+ 2*t^6
10_22,10,3,2,4,2-6*t+ 10*t^2-13*t^3+ 10*t^4-6*t^5+ 2*t^6
10_23,10,3,2,4,2-7*t+ 13*t^2-15*t^3+ 13*t^4-7*t^5+ 2*t^6
10_24,10,2,2,5,4-14*t+ 19*t^2-14*t^3+ 4*t^4
10_25,10,3,2,4,2-8*t+ 14*t^2-17*t^3+ 14*t^4-8*t^5+ 2*t^6
10_26,10,3,2,4,2-7*t+ 13*t^2-17*t^3+ 13*t^4-7*t^5+ 2*t^6
10_27,10,3,2,4,2-8*t+ 16*t^2-19*t^3+ 16*t^4-8*t^5+ 2*t^6
10_28,10,2,2,5,4-13*t+ 19*t^2-13*t^3+ 4*t^4
10_29,10,3,2,5,1-7*t+ 15*t^2-17*t^3+ 15*t^4-7*t^5+ t^6
10_30,10,2,2,5,4-17*t+ 25*t^2-17*t^3+ 4*t^4
10_31,10,2,2,5,4-14*t+ 21*t^2-14*t^3+ 4*t^4
10_32,10,3,2,4,2-8*t+ 15*t^2-19*t^3+ 15*t^4-8*t^5+ 2*t^6
10_33,10,2,2,5,4-16*t+ 25*t^2-16*t^3+ 4*t^4
10_34,10,2,2,5,3-9*t+ 13*t^2-9*t^3+ 3*t^4
10_35,10,2,2,6,2-12*t+ 21*t^2-12*t^3+ 2*t^4
10_36,10,2,2,5,3-13*t+ 19*t^2-13*t^3+ 3*t^4
10_37,10,2,2,5,4-13*t+ 19*t^2-13*t^3+ 4*t^4
10_38,10,2,2,5,4-15*t+ 21*t^2-15*t^3+ 4*t^4
10_39,10,3,2,4,2-8*t+ 13*t^2-15*t^3+ 13*t^4-8*t^5+ 2*t^6
10_40,10,3,2,4,2-8*t+ 17*t^2-21*t^3+ 17*t^4-8*t^5+ 2*t^6
10_41,10,3,2,5,1-7*t+ 17*t^2-21*t^3+ 17*t^4-7*t^5+ t^6
10_42,10,3,2,5,1-7*t+ 19*t^2-27*t^3+ 19*t^4-7*t^5+ t^6
